transaction_id,customer_id,product,amount,timestamp,category
TXN001,CUST101,Laptop,1299.99,2024-12-01 10:30:00,Electronics
TXN002,CUST102,Headphones,89.99,2024-12-01 11:15:00,Electronics
TXN003,CUST103,Coffee Maker,45.50,2024-12-01 12:00:00,Home
TXN004,CUST101,Mouse,25.99,2024-12-01 13:45:00,Electronics
TXN005,CUST104,Book,19.99,2024-12-01 14:30:00,Books
TXN006,CUST105,Smartphone,899.00,2024-12-02 09:00:00,Electronics
TXN007,CUST102,Keyboard,65.00,2024-12-02 10:30:00,Electronics
TXN008,CUST106,Desk Lamp,32.50,2024-12-02 11:45:00,Home
TXN009,CUST103,Notebook,12.99,2024-12-02 13:00:00,Stationery
TXN010,CUST107,Monitor,299.99,2024-12-02 15:30:00,Electronics
TXN011,CUST108,Chair,175.00,2024-12-03 09:15:00,Furniture
TXN012,CUST104,USB Cable,9.99,2024-12-03 10:00:00,Electronics
TXN013,CUST109,Backpack,55.00,2024-12-03 11:30:00,Accessories
TXN014,CUST105,Tablet,399.00,2024-12-03 14:00:00,Electronics
TXN015,CUST110,Water Bottle,15.99,2024-12-03 16:00:00,Home
